Date notified,NHS Ayrshire & Arran,NHS Borders,NHS Dumfries & Galloway,NHS Fife,NHS Forth Valley,NHS Grampian,NHS Greater Glasgow & Clyde,NHS Highland,NHS Lanarkshire,NHS Lothian,NHS Orkney,NHS Shetland,NHS Tayside,NHS Western Isles,Scotland
44271,16000,2851,4091,10343,11486,13874,65527,4876,38316,29018,70,219,13644,290,210605
44272,16074,2854,4096,10393,11521,13896,65706,4887,38413,29123,70,219,13687,291,211230
44273,16119,2856,4097,10438,11556,13927,65874,4899,38505,29257,70,221,13744,291,211854
44274,16170,2857,4098,10478,11589,13962,66036,4912,38639,29395,70,221,13791,291,212509
44275,16203,2857,4100,10518,11625,13993,66167,4922,38716,29480,70,224,13831,291,212997
44276,16232,2857,4105,10544,11657,14018,66308,4926,38818,29584,71,224,13894,291,213529
44277,16253,2857,4106,10563,11684,14043,66443,4930,38872,29630,71,224,13918,294,213888
44278,16283,2857,4116,10594,11704,14071,66586,4936,38974,29737,71,229,13931,294,214383
44279,16306,2857,4125,10628,11763,14125,66773,4940,39082,29902,71,229,13980,294,215075
44280,16344,2859,4129,10654,11794,14181,66950,4952,39223,29882,71,230,14036,294,215599
44281,16376,2863,4130,10681,11823,14224,67119,4954,39332,29976,71,230,14069,294,216142
44282,16404,2866,4134,10710,11872,14269,67276,4958,39432,30095,71,230,14094,294,216705
44283,16439,2867,4134,10730,11913,14284,67383,4959,39513,30176,71,231,14133,294,217127
44284,16461,2870,4134,10751,11954,14313,67484,4961,39581,30220,71,231,14154,294,217479
44285,16483,2870,4136,10773,11999,14326,67576,4968,39659,30329,71,231,14175,294,217890
44286,16524,2871,4137,10799,12074,14374,67712,4972,39757,30402,71,232,14213,294,218432
44287,16548,2872,4137,10812,12114,14409,67832,4975,39824,30475,71,232,14237,294,218832
44288,16571,2872,4137,10860,12150,14434,67937,4983,39896,30538,71,232,14271,294,219246
44289,16596,2873,4137,10892,12185,14453,68061,4996,39958,30595,71,232,14300,294,219643
44290,16613,2873,4137,10916,12224,14473,68158,5006,40010,30653,71,232,14326,294,219986
44291,16620,2874,4137,10936,12240,14488,68231,5015,40055,30699,71,232,14342,294,220234
44292,16634,2874,4137,10961,12259,14497,68324,5022,40087,30743,71,232,14358,294,220493
44293,16647,2874,4137,10988,12280,14519,68418,5024,40139,30789,71,232,14370,294,220782
44294,16662,2875,4137,11021,12323,14556,68518,5027,40204,30830,71,232,14396,294,221146
44295,16677,2876,4139,11049,12347,14590,68608,5029,40245,30866,71,232,14408,294,221431
44296,16690,2877,4140,11072,12378,14622,68679,5031,40304,30897,71,232,14425,294,221712
44297,16702,2877,4141,11093,12397,14636,68752,5041,40360,30923,71,233,14442,294,221962
44298,16712,2877,4142,11114,12407,14649,68819,5050,40388,30951,71,233,14454,294,222161
44299,16714,2877,4142,11130,12416,14666,68914,5051,40439,30972,71,235,14461,294,222382
44300,16724,2878,4143,11172,12433,14689,68999,5060,40484,31001,71,235,14477,294,222660
44301,16729,2879,4143,11187,12447,14707,69087,5072,40523,31028,71,235,14495,294,222897
44302,16758,2882,4145,11208,12475,14732,69204,5082,40603,31060,71,235,14512,294,223261
44303,16775,2882,4146,11220,12489,14755,69258,5087,40652,31082,71,235,14525,294,223471
44304,16789,2883,4146,11230,12500,14773,69318,5089,40710,31108,71,235,14536,294,223682
44305,16810,2883,4147,11239,12514,14791,69376,5093,40766,31138,71,235,14557,294,223914
44306,16826,2883,4147,11249,12521,14814,69421,5096,40795,31167,71,235,14573,294,224092
44307,16851,2883,4149,11273,12543,14833,69489,5099,40855,31204,71,235,14586,294,224365
44308,16879,2883,4152,11290,12553,14854,69553,5101,40897,31238,71,235,14596,294,224596
44309,16905,2883,4158,11314,12565,14864,69627,5108,40950,31265,72,235,14611,294,224851
44310,16914,2883,4168,11333,12575,14877,69660,5109,40979,31297,73,235,14631,294,225028
44311,16932,2884,4170,11343,12582,14886,69726,5112,41008,31320,73,235,14639,294,225204
44312,16941,2884,4173,11361,12589,14896,69757,5117,41034,31342,73,235,14650,294,225346
44313,16950,2884,4175,11377,12593,14909,69806,5119,41051,31356,72,235,14658,294,225479
44314,16967,2886,4178,11396,12602,14935,69861,5121,41076,31390,72,235,14670,294,225683
44315,16982,2887,4184,11420,12609,14952,69904,5132,41103,31411,72,235,14676,294,225861
44316,16996,2890,4190,11440,12621,14975,69944,5133,41132,31449,72,235,14681,294,226052
44317,17009,2890,4197,11454,12628,14991,69990,5137,41154,31490,72,235,14686,294,226227
44318,17015,2891,4197,11463,12643,15013,70028,5141,41178,31511,72,235,14692,294,226373
44319,17023,2892,4199,11466,12652,15034,70061,5146,41207,31528,72,235,14696,294,226505
44320,17041,2892,4200,11476,12659,15050,70096,5149,41227,31554,72,235,14699,294,226644
44321,17044,2892,4200,11485,12668,15068,70121,5149,41236,31565,72,235,14700,294,226729
44322,17056,2893,4204,11510,12685,15104,70215,5153,41279,31600,72,235,14712,294,227012
44323,17076,2894,4205,11522,12706,15138,70288,5155,41311,31633,72,235,14719,294,227248
44324,17091,2896,4206,11538,12711,15157,70376,5156,41340,31666,72,235,14734,294,227472
44325,17101,2897,4208,11551,12718,15180,70453,5159,41364,31690,72,235,14750,294,227672
44326,17113,2897,4208,11564,12732,15200,70502,5163,41392,31707,72,235,14761,294,227840
44327,17127,2897,4208,11580,12741,15221,70597,5165,41437,31740,72,235,14764,294,228078
44328,17143,2897,4211,11605,12765,15248,70738,5170,41488,31780,72,235,14777,294,228423
44329,17153,2897,4210,11632,12773,15255,70876,5172,41527,31806,72,235,14790,295,228693
44330,17157,2900,4210,11648,12774,15270,70986,5172,41548,31843,72,235,14797,296,228908
44331,17178,2901,4212,11674,12787,15296,71162,5177,41613,31897,74,235,14819,296,229321
44332,17190,2902,4212,11690,12806,15312,71305,5178,41645,31942,74,235,14826,296,229613
44333,17192,2902,4212,11711,12815,15327,71365,5178,41670,31963,74,235,14834,296,229774
44334,17203,2903,4212,11722,12840,15330,71503,5180,41702,31992,74,236,14848,297,230042
44335,17220,2905,4213,11744,12866,15350,71695,5185,41739,32051,74,236,14861,297,230436
44336,17246,2907,4214,11769,12888,15360,71913,5188,41782,32116,74,236,14878,297,230868
44337,17264,2907,4215,11780,12917,15368,72125,5194,41844,32164,74,236,14897,297,231282
44338,17281,2908,4215,11800,12945,15380,72294,5195,41882,32229,74,236,14916,297,231652
44339,17296,2908,4215,11808,12959,15387,72498,5198,41921,32292,74,236,14941,297,232030
44340,17318,2909,4215,11819,12978,15395,72653,5204,41951,32331,74,236,14963,297,232343
44341,17336,2909,4215,11830,13006,15406,72802,5205,41985,32385,74,236,14975,297,232661
44342,17369,2911,4216,11856,13031,15422,73031,5211,42079,32444,74,236,15030,297,233207
44343,17407,2911,4218,11875,13050,15434,73201,5215,42147,32542,74,236,15064,297,233671
44344,17456,2913,4219,11910,13073,15445,73434,5224,42251,32674,74,236,15106,297,234312
44345,17509,2913,4221,11933,13097,15454,73673,5255,42334,32754,74,236,15145,297,234895
44346,17544,2914,4224,11960,13125,15464,73854,5275,42402,32873,74,236,15179,297,235421
44347,17599,2915,4226,11975,13144,15471,74044,5287,42476,32957,74,236,15210,297,235911
44348,17636,2918,4228,11996,13166,15476,74229,5298,42525,33064,74,236,15245,298,236389
